nome;kcal;proteine;carboidrati;grassi
Farina d'orzo;333;10,6;68,4;1,9
"Farro perlato, cotto, bollito";178;6,2;37,3;1
"Farro perlato, crudo";353;14,6;69,3;2,4
"Fave, fresche";51;5,2;4,5;0,4
"Fave, fresche, cotte, in padella";61;6,1;5,3;0,5
"Fave, secche";331;21,3;52,8;2,1
"Fave, secche, sgusciate, cotte, bollite";146;11;22,4;1,3
"Fave, secche, sgusciate, crude";343;25,2;53,6;3
Fecola di patate;346;1,4;90,7;
Fegato di bovino;142;20;5,9;4,4
"Fegato di bovino, cotto";190;26,7;7,9;5,9
Fegato di equino;145;22,4;5,3;4
Fegato di ovino;135;19,5;2;5,5
Fegato di pollo;154;22,8;1,5;6,3
"Fegato di pollo, cotto";192;29,4;2;7,4
Fegato di suino;140;22,8;1,5;4,8
"Fegato di suino, cotto";183;29,4;2;6,4
Fegato di tacchino;127;17,8;0,5;6
"Fegato di tacchino, cotto";195;27,4;0,8;9,2
"Feijoa, fresca";59;0,7;9,6;0,8
Feta;250;15,6;1,5;20,2
Fette biscottate;387;11,3;75;6
"Fette biscottate, integrali";394;14,2;63;10
"Fichi d'india, freschi";63;0,8;13;0,1
"Fichi, canditi";294;3,5;73,7;0,2
"Fichi, freschi";63;0,9;14,2;0,2
"Fichi, seccati al forno e mandorlati";305;5,2;58,2;4,2
"Fichi, secchi";282;3,5;58;2,7
"Finocchi, cotti, al microonde";15;1,2;1,5;tr
"Finocchi, cotti, bolliti";17;1,4;1,7;tr
"Finocchi, crudi";15;1,2;1,5;tr
Fiocchi d'avena;367;8;66,8;7,5
Fiocchi di formaggio magro;115;9,7;3,2;7,1
Fior di latte;268;20,6;0,7;20,3
"Fiori di zucca, freschi";18;1,7;0,5;0,4
"Foglie di rapa, crude";27;2,6;2,8;0,1
Fontina;361;24,5;0,8;28,9
Formaggino;309;11,2;6;26,9
Formaggino con ridotto contenuto di grasso;239;14,7;6,5;17,3
Formaggio cremoso spalmabile;313;8,6;tr;31
"Formaggio cremoso spalmabile, light";179;9,2;3,1;14,5
Formaggio molle da tavola;377;25,4;1;30,2
"Fragole, fresche";30;0,9;5,3;0,4
Frittata;185;16,1;;13,4
Frittata prosciutto e formaggio;205;16,2;0,3;15,4
Frumento duro;332;13;62,5;2,9
Frumento tenero;336;12,3;65,2;2,6
Frutta mista caramellata;217;1,9;36;8
"Funghi coltivati, pleurotes, cotti, in padella";35;2,6;5,3;0,4
"Funghi coltivati, pleurotes, crudi";37;2,2;5,6;0,3
"Funghi coltivati, prataioli, cotti, in padella";46;7;1,5;0,4
"Funghi coltivati, prataioli, crudi";24;3,7;0,8;0,2
"Funghi ovuli, crudi";23;2;1,6;0,3
"Funghi porcini, crudi";31;3,9;1;0,7
"Gallina, crudo";194;20,9;;12,3
Gamberetti con funghi e bambù;110;8,6;1,9;7,3
Gamberi;71;13,6;2,9;0,6
"Gamberi sgusciati, surgelati";85;16,5;2,9;0,9
Gateau;156;9,1;11,6;7,7
"Gelato confezionato, biscotto con crema, zabaione e cioccolato";271;5,3;49,1;7,3
"Gelato confezionato, cacao, in vaschetta";173;3,6;25,3;7,1
"Gelato confezionato, caffè, in vaschetta";245;5,1;23,9;15
"Gelato confezionato, cono con panna e cioccolato";291;5,1;34,9;15,5
"Gelato confezionato, cono con panna, scaglie di cioccolato e noccioline";326;4,2;33,3;20,5
"Gelato confezionato, fior di latte, in vaschetta";218;4,2;20,7;13,7
"Gelato confezionato, fior di latte, ricoperto di sorbetto alla fragola";101;1,4;21,3;1,7
"Gelato confezionato, ghiacciolo all'arancio";137;;36,5;tr
"Gelato confezionato, nocciola, in vaschetta";183;3,3;25,2;8,4
"Gelato confezionato, panna ricoperta di cioccolato fondente";316;4,5;28,2;21,4
"Gelato confezionato, panna, in vaschetta";189;3,2;27,2;8,2
"Gelato confezionato, sorbetto al limone, in vaschetta";132;0,9;34,2;tr
"Gelato confezionato, stracciatella, in vaschetta";193;2,9;31,5;7
"Gelato confezionato, vaniglia, in vaschetta";167;2,7;25,7;6,7
Gelato misto fritto;252;4,2;34,7;11,7
Germe di frumento;378;26;43,5;10
Germogli di soia;54;6,2;3;1,4
Gnocchi al pesto alla genovese;186;6,4;21,7;8,4
Gnocchi al ragù alla bolognese;175;8,4;15,4;9
Gnocchi al sugo di pomodoro;112;2,5;19,4;2,8
"Gnocchi di patate, cotti";147;3,5;34;0,2
"Gnocchi di patate, crudi";164;3,9;37,9;0,3
"Gomme da masticare, lastrine e confetti";262;;70;
Gorgonzola;324;19,1;1;27,1
"Grana Padano, DOP";392;33,9;;28,5
"Granchio, in scatola";81;18,1;;0,9
Grano saraceno;329;12,4;61,2;3,3
Grappa;242;tr;tr;
Grissini;421;11,3;65,1;13,9
Groviera;417;30,6;1,5;32,1
"Guava, fresca";31;0,7;3,5;0,5
Halibut;114;20,6;;3,5
"Hamburger piccolo, solo carne, fast food";264;24,5;;18,4
"Hamburger, fast food";251;13,1;30,1;9,1
Hummus;168;6,2;9,4;11
"Indivia, fresca";20;0,9;2,7;0,3
Involtini Primavera;238;3,5;21,6;15,4
Italico;316;21,2;1,2;25,2
Kebab solo carne;269;29,7;;16,7
"Ketchup, salsa";100;2,1;24;tr
"Kiwi, freschi";48;1,2;9;0,6
"Lamponi, freschi";49;1;6,5;0,6
Lardo;891;;;99
Lasagna;196;11,7;13,4;10,8
Lattarini;145;14,6;;9,6
Latte di bufala;114;4,5;5,1;8,5
Latte di capra;76;3,9;4,7;4,8
Latte di pecora;103;5,3;5,2;6,9
"Latte di vacca, condensato, zuccherato";328;8,7;56,5;9
"Latte di vacca, evaporato, non zuccherato";134;7;8,6;8,2
"Latte di vacca, in polvere, intero";484;25,7;42;24,9
"Latte di vacca, in polvere, parzialmente scremato";418;28,8;50,2;12,7
"Latte di vacca, in polvere, scremato";351;33,1;56,2;0,9
"Latte di vacca, pastorizzato, intero";64;3,3;4,9;3,6
"Latte di vacca, pastorizzato, parzialmente scremato";46;3,5;5;1,5
"Latte di vacca, pastorizzato, scremato";36;3,6;5,3;0,2
"Latte di vacca, UHT, intero";63;3,3;4,7;3,6
"Latte di vacca, UHT, parzialmente scremato";46;3,2;5,1;1,6
Latteria;456;30,7;1,4;36,4
"Lattuga, a cappuccio, fresca";22;1,5;3;0,2
"Lattuga, da taglio, fresca";17;1,1;2,2;0,1
"Lattuga, fresca";22;1,8;2,2;0,4
"Lattughino IV gamma, fresco";16;1,4;1,4;0,2
"Lattughino, fresco";16;1,5;1,4;0,2
Lenti colorate ripiene di cioccolato;456;5,4;73,9;17,5
"Lenticchie, in scatola, scolate";91;5;15,4;0,5
"Lenticchie, secche";319;22,7;51,1;1
"Lenticchie, secche, cotte, bollite";109;6,9;16,3;0,4
"Lievito di birra, compresso";70;12,1;1,1;0,4
"Limoni, freschi";16;0,6;2,5;
"Limoni, succo";10;0,2;2,5;
Lingua di bovino;232;17,1;0,4;18
"Lingua di bovino, cotta, fritta";309;22,8;0,5;24
Liquori da dessert;314;tr;31,1;
"Litchi, freschi";72;1,1;17,2;0,1
"Loti o kaki, freschi";70;0,6;16;0,3
Luccio;81;18,7;0,1;0,6
"Lumaca, cruda";67;12,9;;1,7
"Lupini, ammollati";119;16,4;7,1;2,4
Macadamia;751;8;5,1;76
Maiale in agrodolce;233;8,7;17,7;14,6
"Maiale, bistecca, cotto, in padella";187;25,4;;9,5
"Maiale, bistecca, crudo";157;21,3;;8
"Maiale, coscio, crudo";110;20,2;;3,2
"Maiale, lombo, crudo";146;20,7;;7
"Maiale, pesante, coscio, crudo";127;20,4;;5,1
"Maiale, pesante, lombo, crudo";172;20,8;;9,9
"Maiale, pesante, spalla, crudo";156;19;;8,9
"Maiale, spalla, crudo";133;19;;6,3
"Maionese, artigianale";660;3,2;0,1;71,9
"Maionese, industriale";655;4,3;2,1;70
Mais;357;9,2;75,1;3,8
"Mais, amido";328;0,3;87;tr
"Mais, dolce, in scatola, sgocciolato";105;3,4;20,5;1,3
"Mandaranci, freschi";57;0,8;12,8;0,2
"Mandarini, freschi";76;0,9;17,6;0,3
"Mandorle dolci, secche";628;22;4,6;55,3
"Mango, fresco";56;1;12,6;0,2
"Margarina, 100% vegetale";760;0,6;0,4;84
"Margarina, 2/3 di grassi animali, 1/3 di grassi vegetali";760;0,7;0,4;84
Marmellata;227;0,5;58,7;tr
Marsala all'uovo;150;tr;12,4;tr
Marsala tipico;203;tr;28;
Mascarpone;455;7,6;0,3;47
"Melagrane, fresche";68;0,5;15,9;0,2
"Melanzane, cotte, al microonde";23;0,8;3;0,4
"Melanzane, cotte, in padella";39;1,3;5,4;0,7
"Melanzane, crude";23;1;2,6;0,4
"Mele cotogne, fresche";38;0,3;6,3;0,1
"Mele, disidratate";356;1,3;82,2;2
"Mele, fresche, annurche";45;0,3;10,2;0,1
"Mele, fresche, con buccia";44;0,2;10;tr
"Mele, fresche, deliziose";46;0,2;11,1;0,1
